Fecha,Zona1,Zona2,Zona3,Zona4,Zona5,Zona6,Zona7,Zona8,Zona9,Zona10,Zona11,Zona12a,Zona12b,Zona12c,Zona12d
15-04-2021,3,2,3,3,5,3,4,4,4,4,4,4,4,4,4
16-04-2021,3,4,2,3,3,3,3,3,4,4,4,4,4,4,4
19-04-2021,2,2,2,2,3,4,4,4,3,4,3,3,3,3,3
20-04-2021,3,3,2,2,3,3,4,3,3,4,3,3,3,3,3
21-04-2021,3,3,2,2,3,4,4,4,4,3,4,3,3,3,3
22-04-2021,3,4,2,3,2,4,4,4,4,3,4,4,4,4,4
23-04-2021,4,4,3,3,3,3,4,4,3,3,3,4,4,4,4
26-04-2021,4,4,3,2,4,4,3,3,2,3,4,4,4,4,4
27-04-2021,4,4,3,3,4,4,4,3,2,3,4,4,4,4,4
28-04-2021,4,3,2,4,3,4,4,3,3,2,4,3,3,3,3
29-04-2021,4,2,2,3,3,4,4,2,3,2,4,2,2,2,2
30-04-2021,4,1,2,2,3,4,4,3,3,2,3,3,3,3,3
03-05-2021,3,1,2,3,2,4,4,3,4,2,4,3,3,3,3
04-05-2021,3,3,2,3,2,4,4,2,4,2,4,2,2,2,2
05-05-2021,2,3,2,4,1,4,4,2,4,3,4,2,3,3,3
06-05-2021,1,3,2,4,2,3,3,1,4,3,4,3,3,3,3
07-05-2021,2,3,2,4,2,2,3,1,3,3,4,4,4,4,4
10-05-2021,1,4,1,3,2,3,3,2,2,3,3,4,4,4,4
11-05-2021,2,4,1,3,2,2,3,3,3,3,2,4,4,4,4